prefecture_name,cft_issue_year,organization_name,it_notices,core_it_notices,adjacent_only_notices,system_development,system_services,software_applications,operations_maintenance,cloud,cybersecurity,network_infrastructure,end_user_computing,data_digital,artificial_intelligence,it_consulting_planning,prefecture_year_it_notices,organization_share_percent,rank,prefecture_label,leading_subgroups,leading_subgroup_count
愛知県,2025,国土交通省中部運輸局,1,1,0,1,0,0,0,0,0,1,0,0,0,0,17,5.88235294117647,4,Aichi,System development | Network infrastructure,1
愛知県,2025,愛知県安城市,1,1,0,1,0,0,0,0,0,0,0,0,0,0,17,5.88235294117647,4,Aichi,System development,1
愛知県,2025,海上保安庁第四管区海上保安本部,1,1,0,0,0,0,1,0,0,0,0,0,0,0,17,5.88235294117647,4,Aichi,Operations and maintenance,1
東京都,2025,国立研究開発法人産業技術総合研究所,45,43,2,22,2,2,15,9,2,8,0,2,7,3,160,28.125,1,Tokyo,System development,22
東京都,2025,防衛省,21,18,3,1,0,3,4,3,4,6,0,0,3,0,160,13.125,2,Tokyo,Network infrastructure,6
東京都,2025,国立大学法人東京工業大学,11,11,0,3,0,1,7,1,0,3,0,0,1,1,160,6.875000000000001,3,Tokyo,Operations and maintenance,7
東京都,2025,防衛省自衛隊,8,8,0,1,0,1,0,1,0,2,1,0,0,2,160,5.0,4,Tokyo,Network infrastructure | IT consulting and planning,2
東京都,2025,林野庁,6,5,1,1,1,1,3,2,0,0,0,1,0,0,160,3.75,5,Tokyo,Operations and maintenance,3
東京都,2025,独立行政法人日本学術振興会,6,6,0,3,0,0,3,1,1,0,0,0,0,0,160,3.75,5,Tokyo,System development | Operations and maintenance,3
東京都,2025,環境省,6,5,1,3,0,1,1,0,0,0,0,0,1,1,160,3.75,5,Tokyo,System development,3
東京都,2025,防衛省陸上自衛隊東部方面会計隊,6,5,1,0,0,1,0,0,0,4,0,1,0,0,160,3.75,5,Tokyo,Network infrastructure,4
神奈川県,2025,国立研究開発法人新エネルギー・産業技術総合開発機構,6,6,0,3,0,1,2,2,0,0,0,0,0,0,19,31.57894736842105,1,Kanagawa,System development,3
神奈川県,2025,防衛省,4,4,0,1,0,0,0,0,0,3,0,0,0,0,19,21.052631578947366,2,Kanagawa,Network infrastructure,3
神奈川県,2025,独立行政法人労働者健康安全機構,3,3,0,1,0,0,1,0,1,1,0,0,0,0,19,15.789473684210526,3,Kanagawa,System development | Operations and maintenance | Cybersecurity | Network infrastructure,1
神奈川県,2025,海上保安庁第三管区海上保安本部,1,1,0,0,0,0,1,0,0,0,0,0,0,0,19,5.263157894736842,4,Kanagawa,Operations and maintenance,1
神奈川県,2025,独立行政法人労働者健康安全機構横浜労災病院,1,1,0,0,0,0,1,0,0,0,0,0,0,0,19,5.263157894736842,4,Kanagawa,Operations and maintenance,1
神奈川県,2025,独立行政法人国立病院機構久里浜医療センター,1,1,0,1,0,0,1,0,0,0,0,0,0,0,19,5.263157894736842,4,Kanagawa,System development | Operations and maintenance,1
神奈川県,2025,独立行政法人国立病院機構神奈川病院,1,1,0,1,0,0,0,0,0,0,0,0,0,0,19,5.263157894736842,4,Kanagawa,System development,1
神奈川県,2025,独立行政法人国立病院機構箱根病院,1,1,0,0,0,0,1,0,0,0,0,0,0,0,19,5.263157894736842,4,Kanagawa,Operations and maintenance,1
神奈川県,2025,神奈川県逗子市,1,1,0,0,0,0,0,0,0,1,0,0,0,0,19,5.263157894736842,4,Kanagawa,Network infrastructure,1
福岡県,2025,国家公安委員会（警察庁）福岡県警察,3,2,1,1,0,0,1,0,0,0,0,1,0,0,9,33.33333333333333,1,Fukuoka,System development | Operations and maintenance | Data and digital,1
福岡県,2025,福岡県,2,2,0,2,0,0,1,0,0,0,0,0,0,0,9,22.22222222222222,2,Fukuoka,System development,2
福岡県,2025,国土交通省九州地方整備局,1,1,0,0,0,0,1,0,0,0,0,0,0,0,9,11.11111111111111,3,Fukuoka,Operations and maintenance,1
福岡県,2025,独立行政法人国立病院機構九州医療センター,1,1,0,0,0,0,1,0,0,0,0,0,0,0,9,11.11111111111111,3,Fukuoka,Operations and maintenance,1
福岡県,2025,独立行政法人国立病院機構大牟田病院,1,1,0,0,0,0,1,0,0,0,0,0,0,0,9,11.11111111111111,3,Fukuoka,Operations and maintenance,1
福岡県,2025,防衛省,1,1,0,0,0,0,1,0,0,1,0,0,0,0,9,11.11111111111111,3,Fukuoka,Operations and maintenance | Network infrastructure,1
