year,period_start,period_end,lg_code,prefecture_ja,prefecture_en,category_code,category_ja,category_en,search_hits,collected_at
2024,2024-01-01,2024-12-31,23,愛知県,Aichi,1,物品,goods,243,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,23,愛知県,Aichi,2,工事,construction,278,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,23,愛知県,Aichi,3,役務,services,291,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,27,大阪府,Osaka,1,物品,goods,367,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,27,大阪府,Osaka,2,工事,construction,1185,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,27,大阪府,Osaka,3,役務,services,353,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,40,福岡県,Fukuoka,1,物品,goods,219,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,40,福岡県,Fukuoka,2,工事,construction,1410,2026-07-26T06:59:32.015244+00:00
2024,2024-01-01,2024-12-31,40,福岡県,Fukuoka,3,役務,services,308,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,01,北海道,Hokkaido,1,物品,goods,864,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,01,北海道,Hokkaido,2,工事,construction,3446,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,01,北海道,Hokkaido,3,役務,services,1164,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,13,東京都,Tokyo,1,物品,goods,1578,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,13,東京都,Tokyo,2,工事,construction,1943,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,13,東京都,Tokyo,3,役務,services,1729,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,14,神奈川県,Kanagawa,1,物品,goods,353,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,14,神奈川県,Kanagawa,2,工事,construction,588,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,14,神奈川県,Kanagawa,3,役務,services,369,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,23,愛知県,Aichi,1,物品,goods,251,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,23,愛知県,Aichi,2,工事,construction,281,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,23,愛知県,Aichi,3,役務,services,369,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,27,大阪府,Osaka,1,物品,goods,341,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,27,大阪府,Osaka,2,工事,construction,1092,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,27,大阪府,Osaka,3,役務,services,419,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,40,福岡県,Fukuoka,1,物品,goods,268,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,40,福岡県,Fukuoka,2,工事,construction,910,2026-07-26T06:59:32.015244+00:00
2025,2025-01-01,2025-12-31,40,福岡県,Fukuoka,3,役務,services,389,2026-07-26T06:59:32.015244+00:00
